Tue Jul  1 11:53:13 2014    timing.2

         1539768 function calls (1503430 primitive calls) in 51.438 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  524/178    0.053    0.000    0.066    0.000 /usr/lib/python2.7/sre_parse.py:140(getwidth)
     1494    0.054    0.000    0.064    0.000 /usr/lib/python2.7/sre_parse.py:182(__next)
        1    0.008    0.008    0.061    0.061 /home/pi/PyNDN2/python/pyndn/transport/tcp_transport.py:23(<module>)
     1760    0.048    0.000    0.060    0.000 /home/pi/PyNDN2/python/pyndn/interest.py:101(getExclude)
        1    0.000    0.000    0.058    0.058 /usr/local/lib/python2.7/dist-packages/google/protobuf/text_format.py:296(_Tokenizer)
        1    0.012    0.012    0.057    0.057 /usr/lib/pymodules/python2.7/numpy/lib/index_tricks.py:1(<module>)
     2938    0.054    0.000    0.054    0.000 /home/pi/PyNDN2/python/pyndn/util/common.py:78(typeIsString)
     4704    0.054    0.000    0.054    0.000 /home/pi/PyNDN2/python/pyndn/util/blob.py:182(isNull)
        1    0.004    0.004    0.054    0.054 /home/pi/PyNDN2/python/pyndn/name.py:22(<module>)
     1760    0.042    0.000    0.054    0.000 /home/pi/PyNDN2/python/pyndn/interest.py:64(getName)
     8204    0.053    0.000    0.053    0.000 /home/pi/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:341(getOffset)
     1760    0.052    0.000    0.052    0.000 /usr/local/lib/python2.7/dist-packages/mock.py:540(_mock_add_spec)
     2935    0.041    0.000    0.052    0.000 /home/pi/PyNDN2/python/pyndn/name.py:603(__len__)
        1    0.008    0.008    0.051    0.051 /usr/lib/pymodules/python2.7/numpy/ctypeslib.py:51(<module>)
     4111    0.050    0.000    0.050    0.000 /home/pi/PyNDN2/python/pyndn/util/blob.py:93(buf)
      586    0.025    0.000    0.049    0.000 /usr/local/lib/python2.7/dist-packages/mock.py:431(_check_and_set_parent)
        1    0.015    0.015    0.049    0.049 /usr/lib/pymodules/python2.7/numpy/ma/core.py:21(<module>)
        1    0.008    0.008    0.049    0.049 /usr/lib/python2.7/random.py:40(<module>)
     1758    0.049    0.000    0.049    0.000 /usr/local/lib/python2.7/dist-packages/mock.py:400(_set)
       38    0.044    0.001    0.046    0.001 /usr/lib/python2.7/sre_compile.py:258(_mk_bitmap)
      587    0.033    0.000    0.044    0.000 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/containers.py:194(__init__)
     7298    0.044    0.000    0.044    0.000 {method 'get' of 'dict' objects}
        1    0.006    0.006    0.043    0.043 /usr/local/lib/python2.7/dist-packages/Crypto/Random/Fortuna/FortunaAccumulator.py:25(<module>)
      588    0.042    0.000    0.042    0.000 {round}
        1    0.011    0.011    0.042    0.042 /usr/lib/pymodules/python2.7/numpy/lib/npyio.py:1(<module>)
     1761    0.033    0.000    0.042    0.000 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/python_message.py:447(getter)
        1    0.038    0.038    0.041    0.041 /usr/lib/python2.7/socket.py:45(<module>)
        1    0.028    0.028    0.040    0.040 /usr/lib/python2.7/ctypes/__init__.py:4(<module>)
        1    0.038    0.038    0.039    0.039 /usr/lib/python2.7/hashlib.py:55(<module>)
      586    0.023    0.000    0.038    0.000 /home/pi/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:185(readNonNegativeInteger)
     5277    0.037    0.000    0.037    0.000 /home/pi/PyNDN2/python/pyndn/name.py:71(getValue)
      587    0.037    0.000    0.037    0.000 /home/pi/PyNDN2/python/pyndn/encoding/tlv/tlv_structure_decoder.py:30(__init__)
        1    0.010    0.010    0.036    0.036 /usr/lib/pymodules/python2.7/numpy/core/numerictypes.py:88(<module>)
     1759    0.036    0.000    0.036    0.000 /usr/local/lib/python2.7/dist-packages/mock.py:2021(__init__)
     1172    0.027    0.000    0.035    0.000 /home/pi/PyNDN2/python/pyndn/data.py:119(getName)
        1    0.005    0.005    0.035    0.035 /usr/local/lib/python2.7/dist-packages/Crypto/Random/Fortuna/FortunaGenerator.py:25(<module>)
     4747    0.035    0.000    0.035    0.000 {method 'iteritems' of 'dict' objects}
        1    0.020    0.020    0.034    0.034 /usr/lib/pymodules/python2.7/numpy/core/numeric.py:1(<module>)
     1173    0.027    0.000    0.034    0.000 /home/pi/PyNDN2/python/pyndn/key_locator.py:65(getKeyName)
     1761    0.033    0.000    0.033    0.000 /home/pi/PyNDN2/python/pyndn/name.py:606(__getitem__)
       25    0.002    0.000    0.033    0.001 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/python_message.py:350(_AddPropertiesForFields)
        1    0.003    0.003    0.033    0.033 /usr/lib/pymodules/python2.7/numpy/lib/polynomial.py:3(<module>)
        1    0.014    0.014    0.033    0.033 /usr/lib/python2.7/unittest/case.py:1(<module>)
     1174    0.025    0.000    0.032    0.000 /home/pi/PyNDN2/python/pyndn/interest.py:91(getKeyLocator)
     1172    0.025    0.000    0.032    0.000 /home/pi/PyNDN2/python/pyndn/sha256_with_rsa_signature.py:65(getKeyLocator)
     1172    0.024    0.000    0.031    0.000 /home/pi/PyNDN2/python/pyndn/data.py:137(getSignature)
     1766    0.031    0.000    0.031    0.000 {method 'find' of 'str' objects}
       91    0.009    0.000    0.031    0.000 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/python_message.py:361(_AddPropertiesForField)
     1175    0.031    0.000    0.031    0.000 /home/pi/PyNDN2/python/pyndn/exclude.py:36(__init__)
     1762    0.029    0.000    0.029    0.000 /home/pi/PyNDN2/python/pyndn/name.py:327(clear)
        1    0.000    0.000    0.029    0.029 /home/pi/PyNDN2/python/pyndn/security/key_chain.py:85(getDefaultCertificateName)
        1    0.000    0.000    0.029    0.029 /home/pi/PyNDN2/python/pyndn/security/identity/identity_manager.py:231(getDefaultCertificateName)
      558    0.021    0.000    0.029    0.000 /usr/lib/python2.7/string.py:158(convert)
        1    0.005    0.005    0.028    0.028 /home/pi/PyNDN2/python/pyndn/security/identity/basic_identity_storage.py:23(<module>)
      214    0.006    0.000    0.028    0.000 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/encoder.py:388(TagBytes)
        1    0.005    0.005    0.027    0.027 /usr/lib/pymodules/python2.7/numpy/lib/_datasource.py:33(<module>)
        1    0.009    0.009    0.027    0.027 /usr/local/lib/python2.7/dist-packages/Crypto/Cipher/AES.py:77(<module>)
